"classement_uci","coureur","equipe","points_uci"
"11","MAGNIER Paul","Soudal Quick-Step","1552"
"16","VAUQUELIN Kévin","Arkéa - B&B Hotels","1331"
"28","GRÉGOIRE Romain","Groupama - FDJ","1108"
"31","MARTINEZ Lenny","Bahrain - Victorious","1057"
"37","JEANNIÈRE Emilien","Team TotalEnergies","943"
"52","ALAPHILIPPE Julian","Tudor Pro Cycling Team","780"
"56","PRODHOMME Nicolas","Decathlon AG2R La Mondiale Team","753"
"64","CHAMPOUSSIN Clément","XDS Astana Team","699"
"66","GODON Dorian","Decathlon AG2R La Mondiale Team","689"
"68","SIVAKOV Pavel","UAE Team Emirates - XRG","677"
"77","JEGAT Jordan","Team TotalEnergies","634"
"82","MARTIN Guillaume","Groupama - FDJ","613"
"92","DELETTRE Alexandre","Team TotalEnergies","578"
"99","SEIXAS Paul","Decathlon AG2R La Mondiale Team","544"
"100","PARET-PEINTRE Aurélien","Decathlon AG2R La Mondiale Team","539"
"113","LAPEIRA Paul","Decathlon AG2R La Mondiale Team","509"
"123","BARRÉ Louis","Intermarché - Wanty","471"
"126","DUJARDIN Sandy","Team TotalEnergies","464"
"132","LAURANCE Axel","INEOS Grenadiers","449"
"134","BERTHET Clément","Decathlon AG2R La Mondiale Team","446"
"135","PENHOËT Paul","Groupama - FDJ","445"
"136","GRUEL Thibaud","Groupama - FDJ","442"
"138","RONDEL Mathys","Tudor Pro Cycling Team","441"
"140","COQUARD Bryan","Cofidis","440"
"141","RENARD Alexis","Cofidis","436"
"142","TRONCHON Bastien","Decathlon AG2R La Mondiale Team","436"
"143","VENTURINI Clément","Arkéa - B&B Hotels","434"
"155","MADOUAS Valentin","Groupama - FDJ","409"
"162","HOFSTETTER Hugo","Israel - Premier Tech","399"
"172","ARMIRAIL Bruno","Decathlon AG2R La Mondiale Team","376"
"175","PARET-PEINTRE Valentin","Soudal Quick-Step","367"
"176","THOMAS Benjamin","Cofidis","366"
"184","DÉMARE Arnaud","Arkéa - B&B Hotels","348"
"189","TURGIS Anthony","Team TotalEnergies","338"
"199","DELBOVE Joris","Team TotalEnergies","314"
"201","GAUDU David","Groupama - FDJ","312"
"202","COSTIOU Ewen","Arkéa - B&B Hotels","312"
"209","GUERIN Alexis","Anicolor / Tien 21","305"
"234","COSNEFROY Benoît","Decathlon AG2R La Mondiale Team","273"
"237","LAFAY Victor","Decathlon AG2R La Mondiale Team","271"
