classement_uci,coureur,equipe,points_uci,Weight_kg,Height_m,url_strava
11,MAGNIER Paul,Soudal Quick-Step,1552,75.0,1.87,https://www.strava.com/pros/25788579
16,VAUQUELIN Kévin,Arkéa - B&B Hotels,1331,69.0,1.76,https://www.strava.com/pros/24668658
28,GRÉGOIRE Romain,Groupama - FDJ,1108,64.0,1.77,https://www.strava.com/pros/31599656
31,MARTINEZ Lenny,Bahrain - Victorious,1057,52.0,1.68,https://www.strava.com/pros/19286143
37,JEANNIÈRE Emilien,Team TotalEnergies,943,63.0,1.76,https://www.strava.com/pros/7432267
52,ALAPHILIPPE Julian,Tudor Pro Cycling Team,780,62.0,1.73,https://www.strava.com/athletes/116723523
56,PRODHOMME Nicolas,Decathlon AG2R La Mondiale Team,753,63.0,1.74,https://www.strava.com/pros/5201565
64,CHAMPOUSSIN Clément,XDS Astana Team,699,61.0,1.8,https://www.strava.com/pros/3429256
66,GODON Dorian,Decathlon AG2R La Mondiale Team,689,77.0,1.89,https://www.strava.com/pros/1809256
68,SIVAKOV Pavel,UAE Team Emirates - XRG,677,70.0,1.88,https://www.strava.com/pros/1808024
77,JEGAT Jordan,Team TotalEnergies,634,59.0,1.76,https://www.strava.com/pros/3513048
82,MARTIN Guillaume,Groupama - FDJ,613,55.0,1.73,https://www.strava.com/pros/guillaume-martin-2992543
92,DELETTRE Alexandre,Team TotalEnergies,578,62.0,1.71
99,SEIXAS Paul,Decathlon AG2R La Mondiale Team,544,59.0,1.84,https://www.strava.com/pros/39155371
100,PARET-PEINTRE Aurélien,Decathlon AG2R La Mondiale Team,539,64.0,1.76,https://www.strava.com/pros/1821678
113,LAPEIRA Paul,Decathlon AG2R La Mondiale Team,509,64.0,1.76,https://www.strava.com/pros/12558355
123,BARRÉ Louis,Intermarché - Wanty,471,68.0,1.84,https://www.strava.com/pros/13426170
126,DUJARDIN Sandy,Team TotalEnergies,464,63.0,1.78,https://www.strava.com/pros/18849788
132,LAURANCE Axel,INEOS Grenadiers,449,66.0,1.79,https://www.strava.com/pros/axel-laurance-14553572?hl=fr-FR
134,BERTHET Clément,Decathlon AG2R La Mondiale Team,446,68.0,1.83,https://www.strava.com/pros/7186660
135,PENHOËT Paul,Groupama - FDJ,445,64.0,1.73,https://www.strava.com/pros/9019175
136,GRUEL Thibaud,Groupama - FDJ,442,70.0,1.8,https://www.strava.com/pros/38509850
138,RONDEL Mathys,Tudor Pro Cycling Team,441,67.0,1.8,https://www.strava.com/athletes/19346074
140,COQUARD Bryan,Cofidis,440,60.0,1.69,https://www.strava.com/pros/7633523
141,RENARD Alexis,Cofidis,436,73.0,1.86,https://www.strava.com/pros/5915515
142,TRONCHON Bastien,Decathlon AG2R La Mondiale Team,436,70.0,1.85,https://www.strava.com/pros/8005291
143,VENTURINI Clément,Arkéa - B&B Hotels,434,60.0,1.65,https://www.strava.com/pros/1932146
155,MADOUAS Valentin,Groupama - FDJ,409,71.0,1.79,https://www.strava.com/pros/2404608
162,HOFSTETTER Hugo,Israel - Premier Tech,399,65.0,1.7,https://www.strava.com/pros/10847439
172,ARMIRAIL Bruno,Decathlon AG2R La Mondiale Team,376,71.0,1.9,https://www.strava.com/pros/2192184
175,PARET-PEINTRE Valentin,Soudal Quick-Step,367,52.0,1.76,https://www.strava.com/pros/20161082
176,THOMAS Benjamin,Cofidis,366,68.0,1.79,https://www.strava.com/pros/1700745
184,DÉMARE Arnaud,Arkéa - B&B Hotels,348,76.0,1.82,https://www.strava.com/pros/1737657
189,TURGIS Anthony,Team TotalEnergies,338,69.0,1.79,https://www.strava.com/pros/5123163
199,DELBOVE Joris,Team TotalEnergies,314,65.0,1.80,https://www.strava.com/athletes/30320912
201,GAUDU David,Groupama - FDJ,312,53.0,1.73,https://www.strava.com/pros/4774417
202,COSTIOU Ewen,Arkéa - B&B Hotels,312,64.0,https://www.strava.com/pros/41438962
209,GUERIN Alexis,Anicolor / Tien 21,305,65.0,1.76
234,COSNEFROY Benoît,Decathlon AG2R La Mondiale Team,273,64.0,1.76
237,LAFAY Victor,Decathlon AG2R La Mondiale Team,271,65.0,1.77,https://www.strava.com/pros/3311860
240,LAPORTE Christophe,Team Visma | Lease a Bike,270,76.0,1.91,https://www.strava.com/pros/3834960
251,BAUDIN Alex,EF Education - EasyPost,255,67.0,1.83,https://www.strava.com/pros/6782552
268,ROCHAS Rémy,Groupama - FDJ,240,51.0,1.64,https://www.strava.com/pros/3286366
275,BARGUIL Warren,Team Picnic PostNL,235,61.0,1.82,https://www.strava.com/pros/722861
277,LATOUR Pierre,Team TotalEnergies,234,64.0,1.8,https://www.strava.com/pros/7347052
280,VERCHER Mattéo,Team TotalEnergies,233,60.0,1.71,https://www.strava.com/pros/102073273
281,GAUTHERAT Pierre,Decathlon AG2R La Mondiale Team,231,70.0,1.77,https://www.strava.com/pros/93284378
284,BISIAUX Léo,Decathlon AG2R La Mondiale Team,229,52.0,1.78,https://www.strava.com/pros/25548265
286,MAIRE Adrien,Unibet Tietema Rockets,228,63.0,https://www.strava.com/pros/11895419
335,DOUBEY Fabien,Team TotalEnergies,188,62.0,1.74,https://www.strava.com/pros/8819545
357,RUSSO Clément,Groupama - FDJ,173,73.0,1.86,https://www.strava.com/pros/2905866
361,MOLARD Rudy,Groupama - FDJ,170,62.0,1.78,https://www.strava.com/pros/1759446
362,ROLLAND Brieuc,Groupama - FDJ,169,59.0,1.79,https://www.strava.com/pros/27671946
382,ZINGLE Axel,Team Visma | Lease a Bike,158,67.0,1.73,https://www.strava.com/pros/6973093
397,LABROSSE Jordan,Decathlon AG2R La Mondiale Team,152,65.0,1.78,https://www.strava.com/pros/22159005
