id_strava,nom,distance_m,denivele_m,pente_moy,pente_max,altitude_min,altitude_max
17412677,Kimiberg,1234.1,74.2,6.0,23.9,1372.0,1446.2
40168829,KIGALI 2025 CWC - Road Race Lap,15029.5,270.2,0.0,23.9,1416.8,1517.8
36137334,The Final Stretch - Worlds 2025,517.6,22.0,4.3,9.3,1474.4,1496.4
36137083,KG 548 Golf Course - Worlds 2025,756.5,61.8,8.2,13.1,1416.2,1478.0
13673859,Mur de Kigali - Walk of Kigali (Pavé-cobbled climb),463.4,0.0,-4.2,0.7,1545.4,1565.0
21629853,Ruliba to Nyamirambo,5687.0,378.2,6.6,29.3,1333.0,1706.6
1269095,Côte de la Redoute,1510.26,152.8,10.5,18.4,135.4,288.2
17189607,Côte de Desnié,1596.12,123.5,8.0,12.2,259.5,383.0
37094861,Côte des Forges,1246.51,97.6,7.8,10.1,179.9,277.5
36909346,Côte de la Roche-aux-Faucons,1267.83,136.0,10.2,14.4,84.0,220.0
617076,Mur de Huy,1230.59,123.8,11.7,19.1,76.1,199.9
1228371,Fromberg,1165.43,52.0,4.5,7.9,102.6,154.6
